,initial_index,seeker_post,seeking?_x,seeking?_y
2,2.0,Always feel like I'm being criticized and mocked even when alone.... Does anyone else experience this?,Seeking(truly),Seeking
4,4.0,"I hate not knowing why. I was diagnosed with depression and anxiety when I was 14. That's almost 4 years ago and I still don't know why I am like this. I have more than enough, yet there are moments where I feel like there's no hope nor a bright future waiting for me. I feel alone and abandoned even though I have friends who know that I am depressed and am like this sometimes. I get so frustrated when I can't find out why I just can't be normal. Everything was alright about 2 hours ago, but it just changes so quickly and hard that I almost feel suicidal. I'm a fucking mess...",Seeking(truly),Seeking
6,6.0,"My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do?",Seeking(truly),Seeking
12,12.0,"I've had a hard time going back to school. Going back to school has been difficult for me, It's been around five years since I've been in a class room and I ask the teachers and the people that I go to my classes to cut me some slack for being rusty but they tell me that it doesn't matter, and my step mom doesn't want me to use the computer because she doesn't want to share. Its lead me to skipping classes because I feel like theirs no use in going to school, it would be cool to know how you would handle this situation and if you can give me any advice.",Seeking(truly),Not seeking
14,14.0,"All the people who will be kissed on New year's eve. I'll be alone like usual I'll never get someone to kiss me It's fine No one understands how hopelessly, alone, and angrily some people live. It would scare some attractive people that haven't ever lived like that.",Seeking(truly),Seeking
22,22.0,If anyone will listen. I'm in a bad place right now. I could really use a friend.,Seeking(truly),Seeking
24,24.0,I don't wanna go back to a psych unit a third time.. I feel like I'm being pushed over the edge. I don't want to go back to the psych unit for the third time in a 6 month period. What do I do?,Seeking(truly),Seeking
26,26.0,Nothing works. They took me off the one pill that worked. The pill I'm on now is the worst one of them all. Should I call them and tell them? I dont know who exactly to call. Please kill me.,Seeking(truly),Seeking
29,29.0,I've been in bed for 5 days. I can't seem to stay up for more than an hour at a time. Tomorrow is my last sick day. If I can't get up I will lose my job. Somehow I really don't even care. I wish I could just blink out of existence.,Seeking(truly),Seeking
31,31.0,"Does anyone else sleep early to escape thoughts you get at night?. I always see people say how depression causes them to stay awake at night or become lethargic during the day but after 10pm, I become increasingly paranoid and depressed and so I force myself to sleep. Just want to know if anyone out there is the same...",Seeking(truly),Seeking
35,35.0,changes. i see no changes wake up in the morning and i ask myself is life worth living should i blast myself,Seeking(subtly),Seeking
42,42.0,"I'm contemplating suicide via ruining my life.. If I can't do it quickly, then I'll do it slowly. I'm in no rush. I mean fuck it. I'm going to be miserable whether I'm working my dream job or being a cashier at McDonald's. What's the point in taking up something someone else is gonna enjoy more?",Seeking(truly),Seeking
45,45.0,Everyday I ask myself why I haven't killed myself.. And as each day passes I have less reasons.,Seeking(truly),Seeking
47,47.0,"Why is it so easy to blame ourselves?. It's strange, sometimes when I make mistakes that clearly not my fault I blame myself for it, but why is that and how can we stop blaming ourselves for everything?",Seeking(truly),Seeking
48,48.0,Is the good even worth it?. idek anymore. Too much bad...,Seeking(truly),Seeking
49,49.0,People said try finding yourself a goal. But I have goals. I can't work on them because I feel tired. Which makes me feel more worst due to my failure.. I am not sad I am just feel...given up.,Seeking(truly),Seeking
